date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:56	2454/2454	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:39:56%20GMT	http://www.tivodart.narod.ru/impny.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/impny.html	(from http://www.tivodart.narod.ru/gallery.html)
15:39:57	2337/2337	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:39:57%20GMT	http://www.tivodart.narod.ru/arkan21.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/arkan21.html	(from http://www.tivodart.narod.ru/gallery.html)
15:39:57	22483/22483	---M--	200	added ('OK')	image/jpeg	etag:%225476357f-57d3%22	http://www.tivodart.narod.ru/yabspas1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/yabspas1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:39:57	18998/18998	---M--	200	added ('OK')	image/jpeg	etag:%2254763531-4a36%22	http://www.tivodart.narod.ru/imperium1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/imperium1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:39:58	2704/2704	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:39:58%20GMT	http://www.tivodart.narod.ru/meka.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/meka.html	(from http://www.tivodart.narod.ru/gallery.html)
15:39:58	22861/22861	---M--	200	added ('OK')	image/jpeg	etag:%225476355b-594d%22	http://www.tivodart.narod.ru/impny1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/impny1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:39:59	2447/2447	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:39:59%20GMT	http://www.tivodart.narod.ru/odnavera.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/odnavera.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:00	2516/2516	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:00%20GMT	http://www.tivodart.narod.ru/upechey.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/upechey.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:01	31964/31964	---M--	200	added ('OK')	image/jpeg	etag:%2252931a06-7cdc%22	http://www.tivodart.narod.ru/arkan211.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/arkan211.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:01	21609/21609	---M--	200	added ('OK')	image/jpeg	etag:%2252931b92-5469%22	http://www.tivodart.narod.ru/meka1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/meka1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:01	2405/2405	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:01%20GMT	http://www.tivodart.narod.ru/sevveter.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/sevveter.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:02	2687/2687	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:02%20GMT	http://www.tivodart.narod.ru/rasvet.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/rasvet.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:03	27320/27320	---M--	200	added ('OK')	image/jpeg	etag:%2252931c9f-6ab8%22	http://www.tivodart.narod.ru/odnavera1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/odnavera1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:03	2301/2301	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:03%20GMT	http://www.tivodart.narod.ru/credo.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/credo.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:03	23752/23752	---M--	200	added ('OK')	image/jpeg	etag:%2252931e72-5cc8%22	http://www.tivodart.narod.ru/upechey1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/upechey1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:04	22921/22921	---M--	200	added ('OK')	image/jpeg	etag:%2252931de9-5989%22	http://www.tivodart.narod.ru/sevveter1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/sevveter1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:04	2802/2802	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:04%20GMT	http://www.tivodart.narod.ru/111gola.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/111gola.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:05	10782/10782	---M--	200	added ('OK')	image/jpeg	etag:%22515e2c62-2a1e%22	http://www.tivodart.narod.ru/credo1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/credo1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:05	2606/2606	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:05%20GMT	http://www.tivodart.narod.ru/psi.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/psi.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:06	27055/27055	---M--	200	added ('OK')	image/jpeg	etag:%2252931d5a-69af%22	http://www.tivodart.narod.ru/rasvet1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/rasvet1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:06	10573/10573	---M--	200	added ('OK')	image/jpeg	etag:%22515e2c46-294d%22	http://www.tivodart.narod.ru/111gola1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/111gola1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
